dealname,lead_owner,support_owner,broad_category_updated,subcategory,fund,createdate,recommendation
Metlife - BioSkryb,Whitney Haring-Smith,,,,Fund I,2024-07-08T20:27:24.667Z,"['Life Science Investment Opportunities', 'Co-Investment Opportunities', 'Fund Subscription Opportunities']"
Metlife - Partium,Whitney Haring-Smith,,,,Fund I,2024-07-08T20:27:57.816Z,"['Co-investment Opportunities', 'Direct Investments', 'Fundraising']"
Cliffwater LLC - EnCharge 2024 SPV,David Michael,,Software & Advanced Computing,Artificial Intelligence & Machine Learning,Fund I,2024-07-08T20:29:38.017Z,"['AI Processors', 'DARPA-backed Technologies', 'Semiconductor Co-Investments']"
Cliffwater LLC - Niron,David Michael,,,,Fund I,2024-07-08T20:30:14.073Z,"['AI Processors', 'Advanced Computing', 'Investment Opportunities']"
Cliffwater LLC - BioSkryb,David Michael,,,,Fund I,2024-07-08T20:30:40.968Z,"['AI Processor Technology', 'Advanced Computing', 'Semiconductor Financing']"
Phenomic AI (Jun 2024),Sonal Naik,,Life Sciences & Healthcare,Drug Discovery,Fund III,2024-07-08T22:35:15.833Z,"['Solid Tumor Drug Discovery', 'AI/ML in Drug Discovery', 'Functional Tissue Architecture']"
Quantum Satis Engeneering (July 2024),Josh Stiling,Henk Both,Energy & Clean Technology,Energy Storage & Batteries,Fund III,2024-07-09T10:46:43.654Z,"['Energy Storage & Batteries', 'Smart Grid Technology', 'Renewable Energy Integration']"
PJ Woodlands (Jul 2024),Wilson Poole,Josh Stiling,Materials & Chemicals,Structural Engineering Materials,Fund III,2024-07-09T13:58:15.420Z,"['Clean Technology', 'Environmental Sustainability', 'Green Building Materials']"
GPER G-1 Development Group (Jul 2024),Wilson Poole,Josh Stiling,Life Sciences & Healthcare,Therapeutics;Drug Discovery,Fund III,2024-07-09T14:05:17.752Z,"['Therapeutics', 'Drug Discovery', 'Medical Research']"
VisionQuest Biomedical (Jul 2024),Wilson Poole,Josh Stiling,Life Sciences & Healthcare,Artificial Intelligence & Machine Learning;Diagnostics,Fund III,2024-07-09T14:12:06.592Z,"['Medical Imaging Technology', 'Healthcare AI Solutions', 'Biomedical Diagnostics']"
Sandia Biotech (Jul 2024),Wilson Poole,Josh Stiling,Life Sciences & Healthcare,Diagnostics,Fund III,2024-07-09T14:20:06.647Z,"['Molecular Diagnostics', 'Point-of-Care Testing', 'Diagnostic Imaging']"
Humanetics Corporation (Jun 2024),Nick Fisher,,Life Sciences & Healthcare,,,2024-07-09T14:40:27.064Z,"['Biodefense', 'Oncology', 'Inflammatory Lung Diseases']"
Seneca Therapeutics (Jul 2024),Whitney Haring-Smith,,Life Sciences & Healthcare,Oncology,Fund III,2024-07-09T14:47:31.362Z,"['Solid Tumor Therapy', 'Immuno-oncology', 'Gene Therapy']"
ArcPoint Forensics - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-09T15:53:45.172Z,"['Forensic Technology', 'Cybersecurity', 'Data Analytics']"
UbiQD (July 2024),Josh Stiling,Henk Both,Materials & Chemicals,Nanomaterials,Fund III,2024-07-09T16:10:30.323Z,"['Quantum Dots', 'Advanced Materials', 'Optoelectronic Materials']"
Optomec (July 2024),Evan Kay,Jenna Abelli,Manufacturing,Additive Manufacturing,Fund III,2024-07-09T16:12:07.488Z,"['3D Printing Technologies', 'Advanced Manufacturing Techniques', 'Industrial Additive Solutions']"
Quasr Diagnostics (July 2024),Sonal Naik,Jaione Maiz,Life Sciences & Healthcare,Diagnostics,Fund III,2024-07-09T16:17:15.717Z,"['Point-of-Care Diagnostics', 'Molecular Diagnostics', 'Digital Health Diagnostics']"
Green Theme Technologies (July 2024),Henk Both,Josh Stiling,Materials & Chemicals,Microfluidics;Nanomaterials,Fund III,2024-07-09T16:21:03.505Z,"['Sustainable Coatings', 'Eco-friendly Materials', 'Green Chemistry Innovations']"
OEM Capital (Jul 2024),,,Electronics,Electronic Equipment & Instrumentation - General,Fund III,2024-07-09T17:40:02.861Z,"['Semiconductor Testing Tools', 'Semiconductor Process Monitoring', 'Fabless Semiconductor Solutions']"
Croft Motors (July 2024),Henk Both,Wilson Poole,Transportation & Logistics,"Alternative Fuel (Hydrogen, Biofuel, etc.)",Fund III,2024-07-09T17:52:08.222Z,"['Hydrogen Storage Technology', 'Modular Fueling Systems', 'Graphene-based Hydrogen Storage']"
Pixel Photonics (Jun 2024),Jimmy Kan,,Electronics,,Fund III,2024-07-09T20:57:32.912Z,"['Quantum Computing', 'Quantum Communications', 'Quantum Sensing']"
Gregor Diagnostics (May 2024),David Michael,,Life Sciences & Healthcare,Diagnostics,Fund III,2024-07-09T20:59:25.763Z,"['Prostate Cancer Diagnostics', 'Non-invasive Testing', 'Cancer Biomarkers']"
Novo Holdings - NATLF,Whitney Haring-Smith,,,,NATLF,2024-07-10T10:40:49.036Z,"['Private Equity Investments', 'Climate Funds', 'Planetary Health Investments']"
Raaam Technology (Jul 2024),Jimmy Kan,,Electronics,Electronic Equipment & Instrumentation - General,Fund III,2024-07-10T18:48:08.074Z,"['Semiconductor Memory Technology', 'AI Hardware', 'Automotive SoCs']"
NLM Photonics (Jul 2024),Whitney Haring-Smith,,Electronics,Communications & Networking,Fund III,2024-07-10T18:48:19.219Z,"['Photonic Integrated Circuits', 'Semiconductor Manufacturing', 'Optical Communications']"
Genece Health (Jul 2024),David Michael,,Life Sciences & Healthcare,Diagnostics,Fund III,2024-07-10T18:48:35.846Z,"['Liquid Biopsy', 'AI-based Cancer Detection', 'Early Cancer Screening']"
Roger Lipton - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-10T23:41:02.897Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
Outlander VC - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-10T23:42:47.565Z,"['Industrial Automation & Analytics', 'Cybersecurity', 'Quantum Computing']"
Rockefeller Global Family Office - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-10T23:45:22.996Z,"['Critical Technologies', 'Equity Investments', 'Family Office']"
Sylvester Steele - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-10T23:50:51.549Z,"['Artificial Intelligence & Machine Learning', 'Critical Technologies', 'Equity Investments']"
Next Generation - Critical tech Equity,Nick Fisher,,,,JAG,2024-07-11T00:01:47.083Z,"['Critical Technologies', 'Next-Generation Tech', 'Equity Investments']"
Senja Holdings - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-11T00:11:23.324Z,"['Critical Technologies', 'Equity Investment', 'Tech Holdings']"
Jay Christy - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-11T00:13:53.151Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
ShoreBridge Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-11T14:28:23.458Z,"['Critical Technologies Investment', 'Equity Funding', 'Technology Ventures']"
Honeywell - BioFlyte,Ittie Rehani,,,,Fund I,2024-07-11T15:44:32.738Z,"['Biosecurity', 'Aerospace Technology', 'Environmental Monitoring']"
ABB Technology Ventures - AST,Whitney Haring-Smith,,,,Fund I,2024-07-11T16:04:35.945Z,"['Industrial Automation', 'Advanced Manufacturing', 'Robotic Systems']"
Sealman - Voxeljet,Whitney Haring-Smith,,,,Fund I,2024-07-11T16:06:45.810Z,"['3D Printing Technology', 'Industrial Manufacturing', 'Advanced Manufacturing']"
Carnegie Corporation of New York - EnCharge 2024 SPV,David Michael,Ittie Rehani,Software & Advanced Computing,Artificial Intelligence & Machine Learning,Fund I,2024-07-11T16:08:20.430Z,"['AI Processors', 'Semiconductor Investment', 'AI Financing Opportunities']"
Carnegie Corporation of New York - AMBatteries,David Michael,Ittie Rehani,,,Fund I,2024-07-11T16:08:45.310Z,"['AI Processor Technology', 'Semiconductor Investment', 'AI Hardware']"
Carnegie Corporation of New York - 6k,David Michael,Ittie Rehani,Software & Advanced Computing,Artificial Intelligence & Machine Learning,Fund I,2024-07-11T16:09:07.977Z,"['AI Processors', 'AI Hardware', 'AI Investment Opportunities']"
Annandale Capital - EnCharge 2024 SPV,David Michael,,,,Fund I,2024-07-11T16:25:56.684Z,"['Energy Storage & Batteries', 'Alternative Fuel', 'Smart Building / Infrastructure']"
Annandale Capital - AMBatteries,David Michael,,,,Fund I,2024-07-11T16:26:21.876Z,"['Battery Technology', 'Energy Storage Solutions', 'Advanced Materials']"
Annandale Capital - 6k,David Michael,,,,Fund I,2024-07-11T16:26:45.119Z,"['Financial Services', 'Capital Management', 'Investment Strategies']"
SMU - EnCharge 2024 SPV,David Michael,Ittie Rehani,Energy & Clean Technology,,Fund I,2024-07-11T16:28:02.304Z,"['Energy Storage & Batteries', 'Smart Building / Infrastructure', 'Grid / Building Monitoring & Analytics']"
SMU - AMBatteries,David Michael,Ittie Rehani,Energy & Clean Technology,,Fund I,2024-07-11T16:28:27.174Z,"['Energy Storage & Batteries', 'Grid / Building Monitoring & Analytics', 'Alternative Fuel (Hydrogen, Biofuel, etc.)']"
SMU - 6k,David Michael,Ittie Rehani,Software & Advanced Computing,,Fund I,2024-07-11T16:28:48.570Z,"['Enterprise Analytics Software', 'Business Operations Software', 'Data Room Management']"
Gries Financial Partners - EnCharge 2024 SPV,David Michael,Ittie Rehani,Software & Advanced Computing,Artificial Intelligence & Machine Learning,Fund I,2024-07-11T16:29:36.590Z,"['AI Processors', 'AI Hardware', 'AI Investment Opportunities']"
Gries Financial Partners - AMBatteries,David Michael,Ittie Rehani,Energy & Clean Technology,Energy Storage & Batteries,Fund I,2024-07-11T16:29:58.388Z,"['AI Processor Technology', 'Energy Storage Solutions', 'Advanced Computing']"
Gries Financial Partners - 6k,David Michael,,,,Fund I,2024-07-11T16:30:19.264Z,"['AI Processor Technology', 'Semiconductor Investment', 'AI Hardware']"
Marino Mgmt - EnCharge 2024 SPV,David Michael,Ittie Rehani,Software & Advanced Computing,Artificial Intelligence & Machine Learning,Fund I,2024-07-11T16:32:36.837Z,"['AI Processor Technology', 'AI Hardware', 'AI for Edge Computing']"
Marino Mgmt - AMBatteries,David Michael,Ittie Rehani,Energy & Clean Technology,Energy Storage & Batteries,Fund I,2024-07-11T16:33:00.590Z,"['AI Processors', 'Energy Storage Solutions', 'Advanced Computing Hardware']"
Marino Mgmt - 6K,David Michael,Ittie Rehani,,,Fund I,2024-07-11T16:33:31.758Z,"['AI Processors', 'AI Hardware', 'AI Investment Opportunities']"
Assembly Ventures - GelSight,Ittie Rehani,,,,Fund I,2024-07-11T16:35:40.300Z,"['Robotics Applications', 'Industrial Manufacturing Focus', 'Sensor Technology']"
Aspen Ice,Josh Stiling,Jenna Abelli,Agricultural Technology,"Production tools, Systems, etc.",Fund III,2024-07-12T02:27:09.311Z,"['Agricultural Automation', 'Precision Farming', 'AgriTech Software Solutions']"
LumaCell Systems,Sonal Naik,Jaione Maiz,Life Sciences & Healthcare,,Fund III,2024-07-12T14:49:30.914Z,"['Cellular Imaging', 'Diagnostic Tools', 'Healthcare Software']"
EBSCO Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-12T23:25:57.250Z,"['Industrial Automation', 'Critical Technologies', 'Equity Platforms']"
Bollard - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-12T23:28:16.713Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
Lionchase - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-12T23:28:58.873Z,"['Critical Technologies', 'Advanced Tech Equity', 'Strategic Tech Investments']"
Tanzin Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-13T00:15:52.759Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
50 South Capital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-13T00:21:19.007Z,"['Critical Technologies', 'Equity Investments', 'Venture Capital']"
Southern Equity - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-13T00:29:00.808Z,"['Critical Technologies', 'Equity Investment', 'Principal Investment']"
GCM Grosvenor - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-13T00:30:19.871Z,"['Critical Technologies Investment', 'Equity Investment', 'Tech Equity']"
fwcapital.com - Critical tech Equity,Nick Fisher,,,,JAG,2024-07-13T00:31:40.056Z,"['Critical Technologies', 'Equity Investment', 'Technology Funding']"
MorganBrookCapital - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-13T00:35:41.373Z,"['Critical Technologies', 'Advanced Computing', 'Tech Equity']"
Cowles - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-13T00:36:15.764Z,"['Critical Technologies', 'Equity Investments', 'Industrial Technologies']"
DuPont Capital Management - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-13T00:36:52.556Z,"['Industrial Automation', 'Critical Technologies', 'Equity Management']"
Matthew Brown Companies - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-13T00:37:41.828Z,"['Critical Technologies', 'Equity Investments', 'Industrial Technology']"
Icebook - New Deal,Nick Fisher,,,,JAG,2024-07-13T00:38:29.692Z,"['Industrial Automation & Analytics', 'General Software & Analytics', 'Enterprise Analytics Software']"
Precision Capital Advisors - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-13T00:39:34.835Z,"['Critical Technologies Investment', 'Equity Investment', 'Tech Equity']"
Paragon Equity Partners - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-13T00:40:16.053Z,"['Venture Capital', 'Equity Investment', 'Technology Funding']"
California Technology Ventures - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-13T00:41:24.659Z,"['Critical Technologies', 'Advanced Computing', 'Equity Investments']"
ATHOS Private Wealth - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-13T00:42:11.869Z,"['Financial Technology', 'Investment Platforms', 'Equity Management']"
Cedar Holdings - Critical tech Equity,Nick Fisher,,,,JAG,2024-07-13T00:42:50.497Z,"['Critical Technologies', 'Equity Investment', 'Technology Holdings']"
ImageBiopsy Lab,Sonal Naik,Jaione Maiz,Life Sciences & Healthcare,,Fund III,2024-07-15T12:08:16.568Z,"['Healthcare Imaging Platforms', 'Diagnostics', 'Medical Devices']"
Asperitas (Jul 2024),Wilson Poole,,Energy & Clean Technology,,Fund III,2024-07-15T12:46:26.809Z,"['Data Center Cooling Solutions', 'Immersion Cooling Technology', 'Sustainable Data Center Infrastructure']"
Aristeia AS,Sonal Naik,Jaione Maiz,Life Sciences & Healthcare,,Fund III,2024-07-15T13:45:09.927Z,"['Biomaterials', 'Diagnostics', 'Healthcare Monitoring / Sensors']"
Oxccu (Jul 2024),Wilson Poole,,Energy & Clean Technology,"Alternative Fuel (Hydrogen, Biofuel, etc.)",Fund III,2024-07-15T14:02:10.230Z,"['Alternative Fuel (Hydrogen, Biofuel, etc.)', 'Carbon capture & Recycling', 'Smart Building / Infrastructure']"
Firefly (Jul 2024),Henk Both,Josh Stiling,Energy & Clean Technology,"Alternative Fuel (Hydrogen, Biofuel, etc.)",Fund III,2024-07-15T14:11:18.309Z,"['Hydrogen Fuel Cells', 'Biofuel Technology', 'Renewable Energy Innovations']"
Nimbus Power Systems (Jul 2024),Wilson Poole,Henk Both,Energy & Clean Technology,"Alternative Fuel (Hydrogen, Biofuel, etc.)",Fund III,2024-07-15T14:18:00.449Z,"['Heavy-Duty Fuel Cell Systems', 'Hydrogen Fuel Cell Engines', 'Zero-Emission Transit Solutions']"
Everykey (Jul 2024),Henk Both,,Software & Advanced Computing,Cybersecurity,Fund III,2024-07-15T16:34:03.997Z,"['Proximity-based Authentication', 'Enterprise Security Solutions', 'Cybersecurity Hardware']"
Apax Partners - XGS,Ittie Rehani,,,,Fund I,2024-07-15T18:46:11.928Z,"['Private Equity', 'Investment Management', 'Financial Services']"
Endo Tools Therapeutics (Jul 2024),Sonal Naik,,Life Sciences & Healthcare,Medical Devices - Other,Fund III,2024-07-15T19:19:23.094Z,"['Endoscopic Devices', 'Obesity Treatment', 'Gastrointestinal Devices']"
Lenovo - GelSight,John Ho,,,,Fund I,2024-07-16T10:30:42.407Z,"['Optical Sensing Technology', 'Surface Texture Analysis', 'Industrial Imaging Tools']"
Foresite Capital Management - BioSkryb,Ittie Rehani,,,,Fund I,2024-07-16T10:40:05.182Z,"['Genomics', 'Single-cell Analysis', 'Biotechnology']"
Foresite Capital Management - CytoTronics,Ittie Rehani,,,,Fund I,2024-07-16T10:41:14.170Z,"['Biotechnology', 'Medical Devices', 'Healthcare Analytics']"
Foresite Capital Management - Nanocellect,Ittie Rehani,,,,Fund I,2024-07-16T10:41:42.552Z,"['Nanotechnology', 'Life Sciences', 'Advanced Materials']"
Foresite Capital Management - Ntx,Ittie Rehani,,,,Fund I,2024-07-16T10:42:15.257Z,"['Healthcare Software & Analytics', 'Bioprocessing (Upstream & Downstream)', 'Drug Discovery']"
Skyeton (Jul 2024),Nick Fisher,,Transportation & Logistics,Drones,JAG,2024-07-16T11:05:36.966Z,"['Military UAVs', 'Civilian UAVs', 'Surveillance and Reconnaissance']"
Lehigh University - NATLF,Whitney Haring-Smith,,,,NATLF,2024-07-16T17:36:53.303Z,"['AI Processors', 'Energy Transition', 'Direct Venture Investment']"
Novele (Jul 2024),Whitney Haring-Smith,,Energy & Clean Technology,Energy Storage & Batteries,Fund III,2024-07-16T19:28:30.146Z,"['Distributed Energy Systems', 'Building Energy Management', 'Carbon Emission Reduction']"
PDX Pharmaceuticals (Jul 2024),Sonal Naik,,Life Sciences & Healthcare,,Fund III,2024-07-16T22:31:07.324Z,"['Immunotherapy', 'Cancer Treatment', 'Nano-based Combination Therapy']"
Furno Materials (Jul 2024),Wilson Poole,Henk Both,Energy & Clean Technology,Structural Engineering Materials,Fund III,2024-07-16T23:41:12.945Z,"['Refractory Materials', 'Cement Technology', 'Construction Materials']"
Olaris (Jul 2024),Sonal Naik,,Life Sciences & Healthcare,Diagnostics,Fund III,2024-07-17T00:04:15.663Z,"['Transplant Monitoring', 'Metabolomics', 'Machine Learning in Diagnostics']"
Ultimate Battery Company (Jul 2024),Josh Stiling,,Energy & Clean Technology,Energy Storage & Batteries,Fund III,2024-07-17T05:16:26.062Z,"['Defense Batteries', 'Automotive Batteries', 'Lightweight Batteries']"
Kobliat PTY LTD,Henk Both,Josh Stiling,Software & Advanced Computing,Artificial Intelligence & Machine Learning,Fund III,2024-07-17T15:38:48.574Z,"['Machine Learning Algorithms', 'AI-Powered Analytics', 'Data-Driven Decision Making']"
Orbital (Jul 2024),Wilson Poole,Henk Both,Transportation & Logistics,Electric Vehicle Infrastructure & Enablers (non-Battery),Fund III,2024-07-17T17:51:55.632Z,"['Electric Propulsion Systems', 'Utility Terrain Vehicles (UTVs)', 'Electric Vehicle Powertrain']"
Stargate Hydrogen (Jul 2024),Wilson Poole,Henk Both,Energy & Clean Technology,"Alternative Fuel (Hydrogen, Biofuel, etc.)",Fund III,2024-07-17T18:04:28.856Z,"['Hydrogen Production Technology', 'Green Hydrogen Solutions', 'Electrolyser Innovation']"
Ionobell (Jul 2024),Wilson Poole,Josh Stiling,Energy & Clean Technology,Energy Storage & Batteries,Fund III,2024-07-17T18:19:15.774Z,"['Battery Manufacturing', 'Silicon Anode Technology', 'Automotive Battery Solutions']"
Dimension Genomics,Sonal Naik,Jaione Maiz,Life Sciences & Healthcare,,Fund III,2024-07-17T20:41:53.397Z,"['Genomics', 'Genetic Testing', 'Precision Medicine']"
Magrathea (Jul 2024),Wilson Poole,Joshua Stiling,Materials & Chemicals,Structural Engineering Materials,Fund III,2024-07-17T21:04:14.394Z,"['Resource Extraction Technology', 'Mining Technology', 'Magnesium Production']"
LEF Engineering & Fabrication,Evan Kay,Jenna Abelli,Manufacturing,Materials Manufacturing Platform,Fund III,2024-07-18T12:50:08.284Z,"['Industrial Fabrication', 'Engineering Services', 'Advanced Manufacturing Techniques']"
Bounce Imaging (July 2024),Whitney Haring-Smith,,,,JAG,2024-07-18T13:07:25.212Z,"['Military Technology', 'Police Technology', 'Imaging Devices']"
Fermata Discovery (July 2024),Whitney Haring-Smith,,,,JAG,2024-07-18T13:11:54.476Z,"['Biotechnology Discovery Tools', 'Pharmaceutical Research Tools', 'Genomic Analysis']"
Dynepic (July 2024),Whitney Haring-Smith,,,,Critical Tech Credit (EBITDA positive),2024-07-18T13:13:59.350Z,"['Growth Capital', 'Strategic Partnerships', 'Series B Investment']"
AnySignal (July 2024),Whitney Haring-Smith,,,,JAG,2024-07-18T15:43:58.928Z,"['Communications Infrastructure', 'Aerospace & Defense Technology', 'RF Solutions']"
Syenex (Jul 2024),Sonal Naik,,Life Sciences & Healthcare,Bioprocessing (Upstream & Downstream),Fund III,2024-07-18T17:36:42.983Z,"['Contract Research Organization (CRO)', 'Contract Development and Manufacturing Organization (CDMO)', 'Life Sciences Investment']"
Focal (Jul 2024),Henk Both,,Energy & Clean Technology,,Fund III,2024-07-18T23:10:34.616Z,"['Smart Building / Infrastructure', 'Energy Efficiency Solutions', 'Heating Systems']"
Ammobia (Jul 2024),Wilson Poole,Henk Both,Energy & Clean Technology,"Alternative Fuel (Hydrogen, Biofuel, etc.)",Fund III,2024-07-19T14:02:14.101Z,"['Ammonia Production Technology', 'Green Hydrogen Integration', 'Industrial Chemical Processes']"
Simon M. Ingold - NATLF,Whitney Haring-Smith,Ittie Rehani,,,NATLF,2024-07-19T15:40:54.299Z,"['Life Sciences & Healthcare - Therapeutics', 'Life Sciences & Healthcare - Drug Discovery', 'Life Sciences & Healthcare - Diagnostics']"
Oledcomm (Jul 2024),Whitney Haring-Smith,,Electronics,Communications & Networking,JAG,2024-07-19T18:59:49.571Z,"['LiFi Technology', 'Military Communication Systems', 'Space Communication Solutions']"
LIDROTEC (Jul 2024),Wilson Poole,Jimmy Kan,Manufacturing,Semiconductor Manufacturing & Process,Fund III,2024-07-19T19:29:51.839Z,"['Laser Dicing Technology', 'Wafer Processing Innovations', 'Semiconductor Manufacturing Efficiency']"
HaiLa (Jul 2024),Jimmy Kan,Wilson Poole,Electronics,Communications & Networking,Fund III,2024-07-19T19:30:38.867Z,"['Low Power RF Chips', 'Ambient IoT', 'Wireless Energy Harvesting']"
Resistell (Jul 2024),Sonal Naik,,Life Sciences & Healthcare,Diagnostics,Fund III,2024-07-19T19:30:44.756Z,"['Antibiotic Susceptibility Testing', 'Sepsis Diagnostics', 'Nanomotion Technology']"
Nyrvana (Jul 2024),Wilson Poole,,Software & Advanced Computing,Artificial Intelligence & Machine Learning,Fund III,2024-07-19T22:45:57.673Z,"['AI Inference Systems', 'AI Hardware Optimization', 'AI System Efficiency']"
Agreenet,Henk Both,Jenna Abelli,Agricultural Technology,Food Waste Reduction & Mitigation,Fund III,2024-07-20T10:11:51.722Z,"['Food Preservation Technology', 'Sustainable Agriculture', 'Supply Chain Optimization']"
4D Lifetec (Jul 2024),Sonal Naik,,Life Sciences & Healthcare,Diagnostics,Fund III,2024-07-20T11:11:19.033Z,"['Liquid Biopsy', 'AI-powered Diagnostics', 'Cancer Early Detection']"
First QFM,Jimmy Kan,Josh Stiling,Software & Advanced Computing,Quantum Computing,Fund III,2024-07-20T18:27:22.918Z,"['Quantum Computing', 'AI & Machine Learning', 'Cybersecurity']"
recalm GmbH,Wilson Poole,Josh Stiling,Electronics,Audio Technology,Fund III,2024-07-22T14:07:59.993Z,"['Communications Technology', 'Sound Engineering', 'Consumer Audio Devices']"
TDZ Capital Partners - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-22T14:37:58.701Z,"['Critical Technologies', 'Equity Investment', 'Venture Capital']"
Roxbury Asset Mgt - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-22T14:47:56.936Z,"['Financial Technology', 'Equity Management', 'Investment Platforms']"
Double Prime - Critical Tech Equity,Nick Fisher,,,,JAG,2024-07-22T15:04:13Z,"['Critical Technologies', 'Equity Investment', 'Tech Equity']"
"Emerson Collective, LLC - EnCharge",Henk Both,,,,Fund I,2024-07-22T15:12:48.561Z,"['Energy Storage Solutions', 'Smart Infrastructure', 'Renewable Energy Systems']"
David Park - 6K,Ittie Rehani,,,,Fund I,2024-07-22T15:15:24.135Z,"['Materials Manufacturing Platform', 'Industrial Sensors', 'Robotics & Automation']"
EC M&A - GelSight,Ittie Rehani,,,,Fund I,2024-07-22T15:18:49.799Z,"['Optics-enabled Industrial Instrumentation & Tools', 'Materials Manufacturing Platform', 'Industrial Sensors']"
EC M&A - Partium,Ittie Rehani,,,,Fund I,2024-07-22T15:24:59.028Z,"['Industrial Mergers & Acquisitions', 'Enterprise Software Solutions', 'Digital Transformation']"
